InvestigationType,EventDate,Location,Country,Latitude,Longitude,Lethality,InjurySeverity,AircraftDamage,RegistrationNumber,Make,Model,NumberofEngines,EngineType,PurposeofFlight,AirCarrier,TotalFatalInjuries,WeatherCondition,BroadPhaseofFlight
Accident,3/13/89,"HOLLEY, FL",United States,30.446667,-86.906944,1,Fatal,Destroyed,N5572W,PIPER,PA-28-160,1,Reciprocating,Personal,,1,UNK,CRUISE
Accident,3/18/89,"LENOIR, NC",United States,35.9140196,-81.5389849,1,Fatal,Destroyed,N41HB,Mooney,2150A,1,Reciprocating,Personal,,1,IMC,APPROACH
Accident,3/18/89,"LONGMIRE, WA",United States,46.7502405,-121.812778,1,Fatal,Destroyed,N8822C,CESSNA,T210L,1,Reciprocating,Business,,1,VMC,CLIMB
Accident,3/21/89,"ASHLAND, AL",United States,33.2737256,-85.8360741,1,Fatal,Destroyed,N6387S,BEECH,F33A,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,3/21/89,"HESPERIA, CA",United States,34.4263886,-117.3008784,1,Fatal,Substantial,N239X,TUPTA-SMITH MINIPLANE,RV-4,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,3/22/89,"CORUNNA, MI",United States,42.9819728,-84.117745,1,Fatal,Destroyed,N66688,CESSNA,150M,1,Reciprocating,Instructional,,1,VMC,MANEUVERING
Accident,3/23/89,"EUGENE, OR",United States,44.0520691,-123.0867536,1,Fatal,Destroyed,N3823Y,CESSNA,210D,1,Reciprocating,Ferry,,1,IMC,CRUISE
Accident,3/25/89,"DAYTONA BCH SHR, FL",United States,29.1760933,-80.9828323,1,Fatal,Destroyed,N90985,BELLANCA,7KCAB,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,3/27/89,"WHITMORE, CA",United States,40.629322,-121.9166612,1,Fatal,Destroyed,N7293P,PIPER,PA-24-250,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,3/28/89,"BROWNSVILLE, TX",United States,25.9017472,-97.4974838,1,Fatal,Destroyed,N4595L,CESSNA,421,2,Reciprocating,Executive/Corporate,,1,VMC,CRUISE
Accident,3/28/89,"CLAWSON, MI",United States,42.5333682,-83.1463166,1,Fatal,Destroyed,N5335Q,CESSNA,150L,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,4/2/89,"PAPILLION, NE",United States,41.1544432,-96.0422378,1,Fatal,Destroyed,N81VP,Schempp-Hirth,VOLKSPLANE VP-1,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,4/5/89,"PARKER, AZ",United States,34.1500162,-114.2891177,1,Fatal,Destroyed,N8494J,Mooney,VARI-EZE,1,Reciprocating,Personal,,1,VMC,LANDING
Accident,4/5/89,"STEAMBOAT SPRG., CO",United States,40.4849769,-106.8317158,1,Fatal,Destroyed,N7248N,CESSNA,182P,1,Reciprocating,Business,,1,IMC,CRUISE
Accident,4/6/89,"LUTHERSVILLE, GA",United States,33.2101205,-84.7443765,1,Fatal,Destroyed,N5458B,CESSNA,182,1,Reciprocating,Business,,1,VMC,MANEUVERING
Accident,4/6/89,"ENUMCLAW, WA",United States,47.2042681,-121.9915003,1,Fatal,Destroyed,N9473L,Akro Tech Aviation Inc. Giles,AA-1A,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,4/9/89,"ASPEN, CO",United States,39.1910983,-106.8175387,1,Fatal,Destroyed,N6812R,CESSNA,T210F,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,4/15/89,"WEST CHICAGO, IL",United States,41.8847507,-88.2039607,1,Fatal,Destroyed,N93748,CESSNA,152,1,Reciprocating,Instructional,,1,VMC,APPROACH
Accident,4/15/89,"BLUFFTON, IN",United States,40.7386579,-85.1716368,1,Fatal,Substantial,N9479L,AL WHITE,AA-1A,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,4/16/89,"LAKE CITY, FL",United States,30.1896756,-82.6392899,1,Fatal,Destroyed,N13QT,CONTINENTAL COPTERS,QUICKIE Q-2,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,4/17/89,"JUNCTION, TX",United States,30.4893555,-99.7720109,1,Fatal,Destroyed,N8785V,BELLANCA,17-30A,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,4/19/89,"AUGUSTA, ME",United States,44.3106241,-69.7794897,1,Fatal,Destroyed,N2231L,BEECH,B19,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,4/28/89,"HERKIMER, NY",United States,43.0256259,-74.9859889,1,Fatal,Destroyed,N2113U,Bombardier,B-2,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/3/89,"NEW IBERIA, LA",United States,30.0035365,-91.8187285,1,Fatal,Destroyed,N90619,Skypower,601,2,Reciprocating,Business,,1,VMC,TAKEOFF
Accident,5/4/89,"STOCKTON, CA",United States,37.9577016,-121.2907796,1,Fatal,Destroyed,N8133A,PIPER,PA-28-201T,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/4/89,"DELL CITY, TX",United States,31.9387239,-105.2013453,1,Fatal,Destroyed,N731FR,CESSNA,A188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,5/7/89,"HAMILTON, MO",United States,39.7436184,-93.9982743,1,Fatal,Destroyed,N3581G,BURKHART GROB,A-9,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,5/10/89,"AZUSA, CA",United States,34.1336186,-117.9075627,1,Fatal,Destroyed,N39YV,BEECH,200,2,Turbo Prop,Positioning,,1,IMC,CRUISE
Accident,5/12/89,"STERLING, CT",United States,41.7073744,-71.8290112,1,Fatal,Substantial,N21H,SIKORSKY,MINI DSA-1,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,5/13/89,"TROY, NC",United States,35.3584743,-79.8944901,1,Fatal,Destroyed,N99766,ERCO,415-C,1,Reciprocating,Ferry,,1,VMC,CRUISE
Accident,5/18/89,"ROCKSPRINGS, TX",United States,30.0157647,-100.2053582,1,Fatal,Destroyed,N58228,HUGHES,269C,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,5/20/89,"RUSSELLVILLE, KY",United States,36.8453199,-86.887219,1,Fatal,Substantial,N6863Q,BEECH,S35,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,5/21/89,"IMMOKALEE, FL",United States,26.4185248,-81.4174057,1,Fatal,Destroyed,N8720Q,CESSNA,TU206F,1,Reciprocating,Personal,,1,VMC,LANDING
Accident,5/23/89,"MAXIE, LA",United States,30.3252026,-92.4079103,1,Fatal,Destroyed,N48467,SCHWEIZER,G-164A,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,5/23/89,"AGAR, SD",United States,44.8383153,-100.0745668,1,Fatal,Destroyed,N82644,PIPER,PA-36-300,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,5/26/89,"NICEVILLE, FL",United States,30.5168639,-86.482172,1,Fatal,Destroyed,N80WB,BRITISH AEROSPACE,ZENITH CH-300,1,Reciprocating,Personal,,1,VMC,CLIMB
Accident,5/29/89,"JACKSONVILLE, NC",United States,34.7540524,-77.4302414,1,Fatal,Destroyed,N5325N,BOEING,E75 (PT-13D),1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,5/29/89,"ANGOON, AK",United States,57.5033333,-134.5838889,1,Fatal,Substantial,N67669,DE HAVILLAND,DHC-2,1,Reciprocating,Unknown,,1,VMC,LANDING
Accident,6/3/89,"WASILLA, AK",United States,61.5808763,-149.4410598,1,Fatal,Substantial,N9642K,STINSON,108-2,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/3/89,"N. MYRTLE BEACH, SC",United States,33.8160058,-78.680016,1,Fatal,Destroyed,N6367G,CESSNA,150K,1,Reciprocating,Other Work Use,,1,VMC,MANEUVERING
Accident,6/3/89,"TOWNSVILLE, NC",United States,36.4945876,-78.4236089,1,Fatal,Destroyed,N1769,BENHAM,PITTS SPECIAL S-1C,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/9/89,"ASHLAND, VA",United States,37.7590318,-77.4799837,1,Fatal,Destroyed,N33320,PIPER,PA-28-180,1,Reciprocating,Personal,,1,VMC,GO-AROUND
Accident,6/9/89,"MYERSVILLE, MD",United States,39.5051006,-77.5663773,1,Fatal,Destroyed,N1499X,PIPER,PA-32-300,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,6/10/89,"ST. AUGUSTINE, FL",United States,29.9012437,-81.3124341,1,Fatal,Substantial,N9834D,PIPER,PA-22-160,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/10/89,"ALDERWOOD MANOR, WA",United States,47.8104919,-122.2482582,1,Fatal,Destroyed,N8020E,WEATHERLY,BUSHBY MUSTANG 1,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,6/11/89,"EVERETT, WA",United States,47.9789848,-122.2020795,1,Fatal,Destroyed,N13AT,AMERICAN AEROLIGHTS,BD-5,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,6/12/89,"HUBBARDSTON, MA",United States,42.4737009,-72.0061877,1,Fatal,Destroyed,N19649,CESSNA,172L,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,6/12/89,"HUBBARDSTON, MA",United States,42.4737009,-72.0061877,1,Fatal,Substantial,N212FS,CESSNA,T210N,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,6/14/89,"AUXVASSE, MO",United States,39.0180962,-91.8971198,1,Fatal,Destroyed,N6579Z,PIPER,PA-25-235,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,6/15/89,"PUNTILLA LAKE, AK",United States,62.0873887,-152.7311158,1,Fatal,Destroyed,N160EH,AEROSPATIALE,AS350B,1,Turbo Shaft,Unknown,,1,UNK,CRUISE
Accident,6/15/89,"DAYTONA BEACH, FL",United States,29.2108147,-81.0228331,1,Fatal,Destroyed,N57946,BOEING,A-75,1,Reciprocating,Unknown,,1,VMC,CRUISE
Accident,6/17/89,"EARLE, AR",United States,35.2750871,-90.4667694,1,Fatal,Destroyed,N3931S,North American,AT-6D,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/17/89,"VERNON, AL",United States,33.7570541,-88.1089185,1,Fatal,Substantial,N7939U,CESSNA,172F,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,6/18/89,"LANTANA, FL",United States,26.5867358,-80.0519859,1,Fatal,Destroyed,N2UM,THUNDERBIRD AVIATION,R.A.F. VARI-EZE,1,Reciprocating,Personal,,1,VMC,CLIMB
Accident,6/19/89,"SOUTH LAKE TAHO, CA",United States,38.939926,-119.9771868,1,Fatal,Destroyed,N1778W,BEECH,A36,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/20/89,"CONRAD, MT",United States,48.1683058,-111.9447411,1,Fatal,Destroyed,N7001Z,PIPER,PA-25-235,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,6/20/89,"THE DALLES, OR",United States,45.5945645,-121.1786823,1,Fatal,Destroyed,N3196,Hughes,BENSEN B-8M,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,6/21/89,"DELPHI, IN",United States,40.5875371,-86.6750059,1,Fatal,Destroyed,N30BS,PIPER,PA-24-180,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,6/28/89,"EVELETH, MN",United States,47.4624279,-92.5399063,1,Fatal,Substantial,N9627G,CESSNA,U206,1,Reciprocating,Personal,,1,VMC,LANDING
Accident,6/30/89,"CORDES, AZ",United States,34.3033628,-112.1668266,1,Fatal,Destroyed,N5199Q,CESSNA,152,1,Reciprocating,Instructional,,1,VMC,MANEUVERING
Accident,6/30/89,"MER ROUGE, LA",United States,32.7751347,-91.7926255,1,Fatal,,N8341K,GRUMMAN,G-164-B,1,Turbo Prop,Aerial Application,,1,VMC,TAXI
Accident,7/2/89,"CLERMONT, FL",United States,28.5494447,-81.7728543,1,Fatal,Destroyed,N2039,WILEY,BABY GREAT LAKES,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,7/2/89,"WANNASKA, MN",United States,48.6583084,-95.7347135,1,Fatal,Substantial,N9438J,CESSNA,T188C,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/2/89,"LEWISTOWN, MT",United States,47.0624732,-109.428238,1,Fatal,Destroyed,N349SM,Mooney,TIERRA II,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,7/4/89,"BROKEN BOW, NE",United States,41.401787,-99.6412243,1,Fatal,Destroyed,N8636V,BELLANCA,8KCAB,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,7/4/89,"HOUMA, LA",United States,29.5957696,-90.7195348,1,Fatal,Destroyed,N5489W,CESSNA,P210N,1,Reciprocating,Business,,1,VMC,DESCENT
Accident,7/4/89,"SPRINGFIELD, TN",United States,36.5092118,-86.8849984,1,Fatal,Destroyed,N7554Y,PIPER,PA-30,2,Reciprocating,Personal,,1,VMC,CRUISE
Accident,7/5/89,"REYNO, AR",United States,36.3628411,-90.7537276,1,Fatal,Destroyed,N4931X,ROCKWELL,S-2R,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/9/89,"RED LODGE, MT",United States,45.1857782,-109.2468211,1,Fatal,Destroyed,N2165J,CESSNA,T188C,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/9/89,"NAPA, CA",United States,38.2975381,-122.286865,1,Fatal,Destroyed,N77969,Luscombe,8A,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,7/11/89,"ARLINGTON, TX",United States,32.735687,-97.1080656,1,Fatal,Destroyed,N49056,CESSNA,152,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,7/12/89,"HAY SPRINGS, NE",United States,42.6838618,-102.6899007,1,Fatal,Substantial,N79291,CESSNA,A-188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/12/89,"BERLIN, MD",United States,38.3226153,-75.2176892,1,Fatal,Destroyed,N57417,BELLANCA,7KCAB,1,Reciprocating,Other Work Use,,1,VMC,MANEUVERING
Accident,7/13/89,"WHARTON, TX",United States,29.3116366,-96.1027371,1,Fatal,Destroyed,N7037K,LOCKHEED,KB-2,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,7/14/89,"SOMERTON, AZ",United States,32.5964404,-114.709677,1,Fatal,Destroyed,N29162,Champion,A-1 HUSKY,1,Reciprocating,Public Aircraft,,1,VMC,MANEUVERING
Accident,7/17/89,"CHARLOTTESVILLE, VA",United States,38.0293059,-78.4766781,1,Fatal,Destroyed,N118FC,BEECH,V35TC,1,Reciprocating,Business,,1,VMC,CRUISE
Accident,7/21/89,"TOWN CREEK, AL",United States,34.6812011,-87.4061342,1,Fatal,Destroyed,N5618G,CESSNA,A188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/23/89,"CLUSTER SPRINGS, VA",United States,36.6209725,-78.9216766,1,Fatal,Destroyed,N18257,BEECH,77,1,Reciprocating,Instructional,,1,VMC,CRUISE
Accident,7/24/89,"LOGAN, UT",United States,41.7369803,-111.8338359,1,Fatal,Substantial,N46260,CESSNA,152,1,Reciprocating,Instructional,,1,VMC,TAKEOFF
Accident,7/28/89,"TRUE, WV",United States,37.580675,-80.9361985,1,Fatal,Destroyed,N7162P,PIPER,PA-24-250,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,7/28/89,"PARKIN, AR",United States,35.2671968,-90.5545418,1,Fatal,Substantial,N2730D,Porterfield,M-18,1,Turbo Prop,Aerial Application,,1,VMC,MANEUVERING
Accident,8/2/89,"NORMAN PARK, GA",United States,31.2690741,-83.6871168,1,Fatal,Destroyed,N51850,Taylorcraft,OH-13/M74,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,8/3/89,"YORK, SC",United States,34.9943021,-81.2420175,1,Fatal,Destroyed,N5292M,CESSNA,152,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,8/5/89,"ANCHORAGE, AK",United States,61.2180556,-149.9002778,1,Fatal,Destroyed,N2424N,PIPER,PA-38-112,1,Reciprocating,Instructional,,1,VMC,TAKEOFF
Accident,8/5/89,"MARCO, FL",United States,25.9397412,-81.7075355,1,Fatal,Destroyed,N2676S,CESSNA,210L,1,Reciprocating,Unknown,,1,IMC,UNKNOWN
Accident,8/5/89,"BATON ROUGE, LA",United States,30.4514677,-91.1871466,1,Fatal,Substantial,N27113,BACON,FIREFLY 6B,,Unknown,Unknown,,1,VMC,CLIMB
Accident,8/6/89,"ALBUQUERQUE, NM",United States,35.0843859,-106.650422,1,Fatal,Destroyed,N64263,CESSNA,172M,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,8/6/89,"DANA POINT, CA",United States,33.4672256,-117.6981014,1,Fatal,Destroyed,N2667L,CESSNA,172H,1,Reciprocating,Business,,1,VMC,MANEUVERING
Accident,8/6/89,"VALLEY CITY, ND",United States,46.9233129,-98.0031547,1,Fatal,Destroyed,N188TV,CESSNA,188A,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,8/8/89,"INGALLS, KS",United States,37.8277995,-100.4545927,1,Fatal,Substantial,N7032M,"Wittman, S.J.",PZL-M-18-A,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,8/8/89,"RAMONA, CA",United States,33.0413604,-116.8792553,1,Fatal,Destroyed,N6067Z,PIPER,PA-601P,2,Reciprocating,Business,,1,IMC,TAKEOFF
Accident,8/9/89,"SPRINGFIELD, TN",United States,36.5092118,-86.8849984,1,Fatal,Destroyed,N44516,"Bombardier, Inc.",RB-1,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,8/10/89,"RALEIGH, NC",United States,35.7795897,-78.6381787,1,Fatal,Destroyed,N55TP,BEECH,E55,2,Reciprocating,Business,,1,IMC,CLIMB
Accident,8/11/89,"CHAPEL HILL, NC",United States,35.9131996,-79.0558445,1,Fatal,Destroyed,N25805,BEECH,A-36,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,8/14/89,"EDISON TWSHP, NJ",United States,40.5187154,-74.4120953,1,Fatal,Destroyed,N759MN,CESSNA,182Q,1,Reciprocating,Business,,1,IMC,APPROACH
Accident,8/16/89,"PRATTVILLE, AL",United States,32.4640245,-86.4596966,1,Fatal,Destroyed,N9318G,CESSNA,188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,8/26/89,"PONTIAC, MI",United States,42.6389216,-83.2910468,1,Fatal,Destroyed,N9BD,FAIRCHILD,BD-5,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,8/27/89,"HEARNE, TX",United States,30.8785238,-96.5930258,1,Fatal,Destroyed,N16090,CESSNA,150M,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,8/27/89,"SANDY, OR",United States,45.3962999,-122.2598627,1,Fatal,Substantial,N5916C,BEECH,C35,1,Reciprocating,Personal,,1,VMC,CLIMB
Accident,8/28/89,"WEST POINT, NY",United States,41.3914827,-73.9559721,1,Fatal,Destroyed,N8559Q,CESSNA,U206F,1,Reciprocating,Positioning,,1,UNK,CRUISE
Accident,8/29/89,"OKLAWAHA, FL",United States,29.0427592,-81.9292505,1,Fatal,Destroyed,N8802M,Douglas,DW-1-220,1,Reciprocating,Aerial Application,,1,VMC,LANDING
Accident,9/1/89,"MISSING, ID",United States,,,1,Fatal,Destroyed,N62JE,Eurocopter,WITTMAN TAILWIND W10,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,9/1/89,"MISSING, ID",United States,,,1,Fatal,Destroyed,N62JE,Eurocopter,WITTMAN TAILWIND W10,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,9/2/89,"SKYKOMISH, WA",United States,47.7092746,-121.3601013,1,Fatal,Destroyed,N21NW,CESSNA,TU206C,1,Reciprocating,Personal,,1,IMC,MANEUVERING
Accident,9/4/89,"YERMO, CA",United States,34.9067778,-116.838024,1,Fatal,Substantial,NONE,MITSUBISHI,MONARAI,,Unknown,Personal,,1,VMC,TAKEOFF
Accident,9/4/89,"WIGGINS, CO",United States,40.2305363,-104.0727278,1,Fatal,Destroyed,N9335R,CESSNA,A188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,9/6/89,"TANACROSS, AK",United States,63.3852778,-143.3463889,1,Fatal,Destroyed,N4838C,CESSNA,185,1,Reciprocating,Positioning,,1,VMC,MANEUVERING
Accident,9/6/89,"CALIFORNIA CITY, CA",United States,35.125801,-117.9859038,1,Fatal,Destroyed,N28493,GRUMMAN,AA-5B,1,Reciprocating,Instructional,,1,VMC,TAKEOFF
Accident,9/6/89,"DENTON, TX",United States,33.2148412,-97.1330683,1,Fatal,Destroyed,N51VP,North American,F-51,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/8/89,"PLACERVILLE, CA",United States,38.7296252,-120.798546,1,Fatal,Destroyed,N34FW,CHRISTOPHER D. BROWN,FOCKE-WULF-190,1,Reciprocating,Unknown,,1,VMC,MANEUVERING
Accident,9/15/89,"RENO, NV",United States,39.5296329,-119.8138027,1,Fatal,Destroyed,N74M,Mclarty,SPECIAL JM-2,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,9/16/89,"KERRVILLE, TX",United States,30.0474332,-99.1403189,1,Fatal,Destroyed,N14LU,WSK PZL Mielec,CH-200,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,9/18/89,"SMITH CREEK, MI",United States,42.9127502,-82.6036964,1,Fatal,Destroyed,N46WW,WEATHERLY,STRIPLIN RANGER,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,9/20/89,"TUCKERTON, NJ",United States,39.603174,-74.340145,1,Fatal,Destroyed,N5353V,Maule,BO-105CB-4,2,Turbo Shaft,Unknown,,1,VMC,MANEUVERING
Accident,9/22/89,"ELGIN, TX",United States,30.3496528,-97.3702735,1,Fatal,Destroyed,N4329A,PIPER,PA-22-150,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,9/25/89,"COVINGTON, LA",United States,30.4754702,-90.1009108,1,Fatal,Destroyed,N3962Y,CESSNA,210D,1,Reciprocating,Personal,,1,IMC,DESCENT
Accident,9/27/89,"PALMER, AK",United States,61.599415,-149.1146334,1,Fatal,Substantial,N52AK,Eurocopter,LONG EZ/52,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,9/28/89,"CHAMBLEE, GA",United States,33.8920468,-84.2988126,1,Fatal,Destroyed,N57689,AEROSPATIALE,AS 350D,1,Turbo Shaft,Positioning,,1,IMC,APPROACH
Accident,9/28/89,"MARCY, NY",United States,43.1706253,-75.2915564,1,Fatal,Destroyed,N247D,NAVAL AIRCRAFT FACTORY,COOT-A,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,9/30/89,"INTERLOCHEN, MI",United States,44.6453738,-85.7676077,1,Fatal,Destroyed,N76DJ,Fairchild Hiller,SONERAI-2L,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/30/89,"BEAVER FALLS, PA",United States,40.7520097,-80.3192295,1,Fatal,Destroyed,N33890,AERONCA,65TL,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,10/2/89,"NIXON, NV",United States,39.8318537,-119.3579527,1,Fatal,Destroyed,N2155G,CESSNA,182A,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,10/5/89,"HARTSVILLE, SC",United States,34.3740431,-80.0734005,1,Fatal,Substantial,N21897,CESSNA,188B,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,10/5/89,"NORTH ANDOVER, MA",United States,42.6987024,-71.1350575,1,Fatal,Destroyed,N671RS,SIKORSKY,RV-4,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,10/6/89,,United States,,,1,Fatal,Destroyed,N6773C,BEECH,36TC,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,10/6/89,,United States,,,1,Fatal,Destroyed,N6773C,BEECH,36TC,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,10/12/89,"FINDLAY, OH",United States,41.04422,-83.6499321,1,Fatal,Destroyed,N45895,Luscombe,8A,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,10/13/89,"GRAYLING, MI",United States,44.6614039,-84.7147512,1,Fatal,Destroyed,N3905U,CESSNA,150E,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,10/13/89,"BOTHELL, WA",United States,47.760111,-122.2054452,1,Fatal,Destroyed,N8613F,HUGHES,369D,1,Turbo Shaft,Personal,,1,IMC,MANEUVERING
Accident,10/14/89,"HILLSDALE, MI",United States,41.9200472,-84.6305101,1,Fatal,Destroyed,N757GB,CESSNA,152,1,Reciprocating,Instructional,,1,VMC,MANEUVERING
Accident,10/20/89,"ELOY, AZ",United States,32.7558962,-111.554844,1,Fatal,Destroyed,N120TM,Pzl-Mielec,KR-II,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,10/21/89,"HEMET, CA",United States,33.7475203,-116.9719684,1,Fatal,Destroyed,N63327,Luscombe,JEANIE'S TEENIE,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,10/22/89,"GOLETA, CA",United States,34.4358294,-119.8276389,1,Fatal,Destroyed,N288BH,BEECH,V35,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,10/25/89,"NOKESVILLE, VA",United States,38.698729,-77.5797119,1,Fatal,Destroyed,N86MC,BEECH,58P,2,Reciprocating,Personal,,1,VMC,OTHER
Accident,10/25/89,"COLUMBIA, MS",United States,31.2524566,-89.8354283,1,Fatal,Destroyed,N19007,CESSNA,150L,1,Reciprocating,Personal,,1,VMC,DESCENT
Accident,10/26/89,"CLARE, MI",United States,43.8194703,-84.7686281,1,Fatal,Destroyed,N8805A,BEECH,B35,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,10/29/89,"CARROLLTON, OH",United States,40.5728403,-81.0856532,1,Fatal,Destroyed,N66538,CESSNA,150M,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,10/31/89,"LARAMIE, WY",United States,41.3113669,-105.5911007,1,Fatal,Destroyed,N4825V,CESSNA,172RG,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,10/31/89,"KALIHI, HI",United States,21.3248569,-157.8750076,1,Fatal,Destroyed,N3731X,BEECH,77,1,Reciprocating,Unknown,,1,IMC,CRUISE
Accident,11/2/89,"MARATHON, FL",United States,24.726026,-81.0446262,1,Fatal,Destroyed,N23576,SIAI-MARCHETTI,SK-70,2,Turbo Shaft,Public Aircraft,,1,VMC,MANEUVERING
Accident,11/2/89,"DARLINGTON, SC",United States,34.2998762,-79.8761741,1,Fatal,Destroyed,N58735,CESSNA,182P,1,Reciprocating,Personal,,1,IMC,APPROACH
Accident,11/8/89,"SNOQUALMIE, WA",United States,47.5287132,-121.8253906,1,Fatal,Destroyed,N73422,CESSNA,172M,1,Reciprocating,Personal,,1,IMC,CLIMB
Accident,11/12/89,"CAMARILLO, CA",United States,34.2163937,-119.0376023,1,Fatal,Destroyed,N2723R,PIPER,PA-28R-200,1,Reciprocating,Personal,,1,IMC,APPROACH
Accident,11/14/89,"MT MORRIS, IL",United States,42.0503062,-89.4312201,1,Fatal,Destroyed,N2796U,CESSNA,172D,1,Reciprocating,Personal,,1,IMC,MANEUVERING
Accident,11/15/89,"ESTACADA, OR",United States,45.2944742,-122.3337489,1,Fatal,Destroyed,N9592F,HUGHES,269C,1,Reciprocating,Other Work Use,,1,VMC,MANEUVERING
Accident,11/17/89,"BARSTOW, CA",United States,34.8957957,-117.0172826,1,Fatal,Destroyed,N1097G,McDonnell Douglas,369,1,Turbo Shaft,Other Work Use,,1,VMC,MANEUVERING
